r,returns,income,tax
1000000,17312,40099667000,15728128000
500000,58419,67641094000,25606316000
200000,296507,136627370000,47639294000
100000,1205864,255827809000,77296231000
75000,2469273,363252434000,99090886000
50000,8097912,696962796000,155155667000
40000,14799456,994877117000,196657333000
30000,26435116,1397820079000,246451090000
25000,33893063,1602219230000,269367940000
20000,42869334,1803087486000,289788426000
19000,45033337,1845264996000,293846409000
18000,47232275,1885918592000,297667121000
17000,49575935,1926940262000,301328471000
16000,51909977,1965458708000,304606925000
15000,54471328,2005165531000,307862832000
14000,57151592,2043985396000,310932654000
13000,59858100,2080517821000,313652327000
12000,62576268,2114473398000,316077983000
11000,65441021,2147381202000,318201171000
10000,68419846,2178617227000,320045418000
9000,71676065,2209506542000,321681949000
8000,75138694,2238965431000,323009899000
7000,78340344,2262984430000,323941712000
6000,81611023,2284214029000,324629153000
5000,84911312,2302341326000,325134755000
4000,88274075,2317483044000,325405437000
3000,91596793,2329111194000,325482633000
2000,95050789,2337715814000,325513141000
1000,98368280,2342692440000,325524332000
1,100625484,2343988823000,325524856000
-Inf,101660287,2305951483000,325710254000
