r,returns,income,tax
1000000,86998,227582987000,71539681000
500000,265372,347930079000,107885585000
200000,1272508,640047596000,182485232000
100000,5347359,1172078076000,279724879000
75000,10721848,1630583726000,347439076000
50000,24400870,2458933003000,447715630000
40000,33499631,2865571600000,491350080000
30000,45879969,3296062842000,533752977000
25000,53727832,3511263086000,552274962000
20000,63697931,3734663305000,568424874000
19000,65844584,3776482669000,570975318000
18000,68096409,3818188695000,573293630000
17000,70246875,3855795812000,575324520000
16000,72599532,3894624701000,577252222000
15000,75083563,3933081628000,579114841000
14000,77718175,3971306337000,580805447000
13000,80427761,4007882395000,582324238000
12000,83140616,4041772879000,583765014000
11000,85983037,4074455893000,584943232000
10000,88645651,4102399071000,585839672000
9000,91355435,4128147072000,586540111000
8000,94281701,4153005395000,587156050000
7000,96948099,4173000592000,587504270000
6000,99784827,4191385222000,587758960000
5000,102628055,4207002436000,587939419000
4000,105386291,4219394600000,588078937000
3000,108488437,4230225872000,588162459000
2000,111732589,4238299840000,588253655000
1000,115014506,4243207405000,588320181000
1,117274186,4244607263000,588331066000
-Inf,118218327,4189353615000,588419030000
