r,returns,income,tax
10000000,11264,345715738000,71433950000
5000000,28792,465887642000,100558430000
2000000,101869,683611145000,154795132000
1500000,153419,772168725000,177055050000
1000000,280360,925457885000,215155392000
500000,824584,1293811468000,303745303000
200000,4296307,2279242228000,496571091000
100000,18293958,4148880904000,720993807000
75000,30099340,5169062747000,807087316000
50000,48826510,6320204304000,888019447000
40000,59818532,6812289732000,914657641000
30000,74431828,7320302480000,935773101000
25000,83381903,7565611587000,942796881000
20000,93567185,7794154907000,947552942000
15000,105289912,7998721097000,950056911000
10000,118096413,8158837044000,950985572000
5000,130374116,8252057253000,951381157000
1,140337881,8277946520000,951423488000
-Inf,142892051,8089142092000,951673976000
