r,returns,income,tax
1000000,31859,72565082000,29168908000
500000,83417,106235545000,42097026000
200000,374363,189076152000,69163762000
100000,1489956,336049956000,106452959000
75000,3036732,467976686000,132733924000
50000,9464557,849808454000,195193758000
40000,16923333,1182019318000,240937982000
30000,28412962,1580180486000,289566485000
25000,35971963,1788056858000,312417446000
20000,45193394,1994605942000,333300234000
19000,47260993,2034903885000,337092322000
18000,49505696,2076424575000,340876410000
17000,51739229,2115495360000,344336288000
16000,54063656,2153838320000,347653064000
15000,56483645,2191337250000,350640892000
14000,58932680,2226872886000,353280892000
13000,61731710,2264646027000,356050474000
12000,64459864,2298740025000,358376323000
11000,67286816,2331240442000,360377308000
10000,70189697,2361705133000,362079424000
9000,73430387,2392431636000,363580510000
8000,76536696,2418819809000,364699913000
7000,79623511,2441976181000,365534209000
6000,82970030,2463746553000,366181378000
5000,86100010,2480933186000,366581254000
4000,89795978,2497573612000,366831925000
3000,93018858,2508601635000,366912416000
2000,96610528,2517833975000,366952588000
1000,99962304,2522873285000,366971264000
1,102087623,2524123612000,366978730000
-Inf,103045170,2481681046000,367287213000
