r,returns,income,tax
1000000,69935,181833213000,56637463000
500000,219218,282528657000,87013279000
200000,1109498,538721415000,152595684000
100000,4514230,985238515000,235260190000
75000,9298145,1394241906000,296804643000
50000,22424747,2188928497000,393653893000
40000,31448836,2592730609000,437268335000
30000,43462597,3010837688000,479128341000
25000,51583614,3233289350000,498519692000
20000,61246964,3449807810000,514609253000
19000,63385627,3491543369000,517277187000
18000,65488331,3530489377000,519571950000
17000,67703271,3569198599000,521576283000
16000,70073940,3608308821000,523572007000
15000,72657854,3648345719000,525598986000
14000,75230944,3685606360000,527222514000
13000,78043242,3723539222000,528833978000
12000,80724461,3757025528000,530141291000
11000,83444660,3788310465000,531261852000
10000,86122763,3816448084000,532152241000
9000,88941052,3843160605000,532930593000
8000,91837803,3867821348000,533542656000
7000,94781100,3889925209000,533949734000
6000,97590862,3908202292000,534186237000
5000,100357862,3923424228000,534389849000
4000,103360674,3936921935000,534541609000
3000,106211958,3946927587000,534598154000
2000,109391375,3954868597000,534661640000
1000,112600810,3959703902000,534740087000
1,114989920,3961146461000,534754486000
-Inf,115943131,3907517953000,534856339000
