r,returns,income,tax
10000000,17685,546666931000,108137460000
5000000,44852,732480398000,151398551000
2000000,151563,1050353354000,228440759000
1500000,223437,1174027192000,258755832000
1000000,392851,1378839465000,308960706000
500000,1097880,1856341774000,423132671000
200000,5251992,3043093030000,654728717000
100000,20898640,5143096337000,920119814000
75000,33002532,6189502441000,1018100390000
50000,51987902,7358110806000,1112211104000
40000,62861575,7844873301000,1142633401000
30000,77312726,8347524276000,1166950091000
25000,86047206,8587167978000,1175650142000
20000,96215837,8815111506000,1181917314000
15000,107831415,9017621627000,1185737278000
10000,120463606,9175590676000,1187421936000
5000,132421741,9266512474000,1187819979000
1,142799924,9293663233000,1187852847000
-Inf,144928472,9100131381000,1188027223000
