r,returns,income,tax
10000000,12839,375495375000,98185129000
5000000,34251,521195926000,140872767000
2000000,125379,791378660000,220502511000
1500000,189615,901804988000,252676252000
1000000,345883,1089881323000,305785095000
500000,1070134,1576578446000,431571069000
200000,5558245,2854067383000,682217278000
100000,21983691,5063491560000,960721084000
75000,34557798,6152540501000,1063376371000
50000,53787107,7336447840000,1158953812000
40000,65066501,7841439293000,1190148828000
30000,79540108,8345068748000,1214333346000
25000,88349622,8586989531000,1222984134000
20000,98474908,8814239515000,1229243739000
15000,110096442,9016919979000,1232947675000
10000,122599788,9173133320000,1234461651000
5000,134630175,9264693126000,1234825479000
1,145238287,9292259566000,1234862902000
-Inf,147351299,9093628703000,1235040347000
