r,returns,income,tax
10000000,6126,159126113000,35416509000
5000000,17294,235437550000,54730145000
2000000,65572,377657240000,91635571000
1500000,99588,436155142000,106951577000
1000000,181283,535030602000,132503042000
500000,537423,776241933000,192683685000
200000,2536439,1352551228000,313395237000
100000,11415082,2522731084000,476737644000
75000,20957680,3343615161000,560990760000
50000,38330173,4409364988000,655246953000
40000,48782617,4876883967000,689882166000
30000,62739874,5361658594000,719619984000
25000,71281627,5596247559000,730656024000
20000,81112778,5816751321000,738930110000
15000,92406745,6013929618000,744334844000
10000,104408749,6163369918000,747085503000
5000,116912158,6256547624000,747865952000
1,128609786,6287586380000,747938910000
-Inf,130423626,6207108793000,748017488000
