r,returns,income,tax
10000000,15956,452475087000,91013554000
5000000,40931,623882790000,130570075000
2000000,139655,919012287000,202217170000
1500000,203661,1029224076000,228938464000
1000000,354093,1211267653000,273063689000
500000,943398,1610876638000,367277640000
200000,4064884,2506027661000,544318726000
100000,16153306,4112350377000,753699827000
75000,27293714,5073191695000,843719198000
50000,46148630,6231578042000,938162593000
40000,56835823,6710373742000,970672100000
30000,70987647,7202531880000,997965190000
25000,79737408,7442784007000,1008361756000
20000,89649669,7665646631000,1015863447000
15000,100587363,7856684725000,1020622725000
10000,112299044,8003042435000,1022995855000
5000,124085791,8091035081000,1023650244000
1,135719160,8122039556000,1023738929000
-Inf,138394754,8030842945000,1023920139000
