r,returns,income,tax
1000000,172005,533469193000,146766804000
500000,479024,741063674000,205249648000
200000,2085211,1204653318000,316794894000
100000,8351469,2027273843000,460515588000
75000,15572772,2645736874000,545724945000
50000,31459274,3615528998000,654646073000
40000,41432933,4062601774000,699460630000
30000,54567967,4518817849000,739808313000
25000,62760463,4743457277000,756801570000
20000,72860729,4970071771000,770672673000
19000,75131952,5014374165000,773085979000
18000,77415762,5056613786000,775246366000
17000,79770057,5097796548000,777216608000
16000,82105869,5136331878000,778917219000
15000,84585001,5174785193000,780651693000
14000,87193474,5212617959000,782113502000
13000,89800362,5247802909000,783389382000
12000,92303931,5279112550000,784485538000
11000,94885856,5308827408000,785427008000
10000,97486536,5336143984000,786240141000
9000,100198649,5361868951000,786878198000
8000,102761231,5383605700000,787308545000
7000,105308220,5402695141000,787632540000
6000,107932098,5419749770000,787895125000
5000,110557815,5434216744000,788105601000
4000,113290789,5446481270000,788230481000
3000,116172985,5456590383000,788316136000
2000,119041170,5463761490000,788390902000
1000,121926116,5468088686000,788448106000
1,123775831,5469211170000,788451908000
-Inf,124770662,5415972847000,788541979000
