r,returns,income,tax
1000000,57603,151465353000,36609819000
500000,173249,229981641000,55492403000
200000,786063,409097259000,97123485000
100000,2876421,685428953000,151595417000
75000,5935808,946536089000,194267119000
50000,15857148,1541019474000,275517432000
40000,24447421,1924708549000,319551672000
30000,36547789,2344940477000,365149268000
25000,44162913,2554132031000,385876104000
20000,53495214,2763093732000,404069272000
19000,55640179,2804927644000,407574038000
18000,57952773,2847689932000,410918376000
17000,60319762,2889095997000,414039506000
16000,62741347,2929069933000,416804807000
15000,65233505,2967679185000,419364714000
14000,67843826,3005487645000,421644702000
13000,70624212,3043007595000,423708039000
12000,73599453,3080201597000,425691660000
11000,76470297,3113230944000,427280748000
10000,79536449,3145413006000,428688580000
9000,82425284,3172803100000,429764620000
8000,85344147,3197617535000,430675316000
7000,88462858,3220992680000,431464636000
6000,91434053,3240242522000,431928518000
5000,94543226,3257269580000,432273427000
4000,97637326,3271135715000,432494532000
3000,100939082,3282651009000,432635361000
2000,104343454,3291152580000,432727073000
1000,108269727,3297015887000,432811152000
1,111312721,3298857991000,432837747000
-Inf,112135673,3256358156000,432939998000
