r,returns,income,tax
10000000,18394,561612712000,110843388000
5000000,46484,753940372000,154773106000
2000000,155126,1078533354000,232327718000
1500000,225859,1200301318000,261678984000
1000000,392222,1401087152000,310033303000
500000,1043270,1842526599000,413196384000
200000,4535623,2847185288000,609665558000
100000,17993499,4640225550000,838420183000
75000,29737632,5654903465000,932254191000
50000,49188376,6850671790000,1029136587000
40000,60339174,7350135900000,1062651142000
30000,75079980,7863056208000,1090504359000
25000,84085318,8110260207000,1100748518000
20000,94049011,8333939702000,1108103460000
15000,105110914,8527137983000,1112691086000
10000,117025478,8676045591000,1114928143000
5000,129140219,8766699169000,1115562513000
1,141070971,8798500333000,1115661333000
-Inf,142978806,8687718769000,1115760374000
