Row,median_r,mean_r,T,expcoeff,alpha,paretocoeff,rstar,r0,alphai,fp,fr,fr_expected,ft,gini,taxgini,fL,bot50inc,bot50tax,top1inc,top1tax
1983,15045.5008749415,20660.7062930495,20593.0594521311,1.03956170196647,1.81162710074831,8259861.30008638,103672.700515504,53474.728547196,1.98819190272238,0.00676798174701926,0.076949940304482,0.0758037507697672,0.179746020792124,0.476341446567688,0.666471210259386,0,0.174812821904187,0.0711345749771293,0.0931258473713658,0.207555986183065
1984,15998.278894617,22077.7935490425,21846.7208849389,1.04094261597254,1.74596724677695,4312380.85438482,109854.288318861,56532.2074701688,1.95152924355927,0.00681735177647771,0.0810397583245769,0.0793950422738782,0.19125830940744,0.479384400766373,0.670799255636745,0,0.174360513925244,0.0727360217545278,0.0965477352885862,0.217890811792238
1985,16681.5353037656,23294.18681852,22950.0146027208,1.03940235182735,1.7654171883229,6713796.74385252,110700.7953714,59031.7321057838,1.91915375257042,0.00835483293414625,0.0925992151572134,0.0915777770150381,0.210298450030903,0.483753426296544,0.675890906358694,0,0.172629165925513,0.0710383000285082,0.100295900429429,0.223225133198244
1986,17308.6086103681,24725.0698745332,24016.8038514118,1.0330572672488,1.53653831117099,498123.70919122,116072.946777716,58671.8504591645,1.81071324662261,0.00822591050973239,0.104312332535854,0.110591084834451,0.243029969649307,0.496565358603001,0.696485840592648,0,0.166613146894897,0.0645516945515327,0.113158779070213,0.258320036754253
1987,17772.7652076187,26505.9039697711,24895.8556151544,1.02375119686363,1.70275975323547,5359599.3298419,104930.188505996,68502.6065485202,1.71011891760598,0.0151267318285376,0.147228070705912,0.145093993909974,0.2879288153224,0.516207504493379,0.704373531776055,0,0.156327536114845,0.0606660579697971,0.123419625065876,0.249224051623615
1988,18376.5594137144,28695.4535840746,25985.0588178379,1.02065734580524,1.52818960882313,837861.941057317,105398.560623085,66431.3702493817,1.60143109658338,0.0176737496449563,0.1869302873211,0.187818200006101,0.330952361032921,0.536501202113344,0.716449618717276,0.0933854705111328,0.149253716391825,0.0572147980615604,0.151700539402764,0.276368537722406
1989,18992.7338360717,29635.9478176802,26905.5761629639,1.02103667952224,1.62522790973308,2892484.81205113,106426.072256856,74346.1353466045,1.59854255487252,0.0195511504662828,0.185252829563215,0.182506125972976,0.31885979221567,0.533647651577171,0.707843761708289,0.0851250377952939,0.14963454512071,0.0583102450636445,0.141936834983575,0.252861430649906
1990,19771.8984785378,30592.7736827048,28035.9952444387,1.01958394447963,1.62804475356348,3175056.25012936,111134.383309825,74675.3247315658,1.62370468510153,0.0193590631879423,0.182760231300383,0.182301261713058,0.315566983223011,0.531853450302129,0.706436618946338,0.0826636398084089,0.150249125356813,0.0580874899468931,0.140075365114624,0.25180197706611
1991,20114.9577929395,30896.4386732486,28429.6232275777,1.0207335802856,1.73400039723879,11522718.0115128,111035.280210756,82597.7428348177,1.62798302490898,0.0205458242042768,0.177623318486291,0.174433154895528,0.318430861859706,0.527703835927982,0.709017222344547,0.072837794616965,0.151375575230474,0.05477765003466,0.129836908647422,0.247153434993063
1992,20825.7821058915,32671.6544776325,29456.7501939539,1.02273767867756,1.64913970392124,4665121.28974938,113963.261836001,83610.0399980263,1.57806036889221,0.0213575394551712,0.193601293375556,0.18926235313985,0.350483513973489,0.534905841117004,0.723573674996061,0.0874236211820634,0.14939749581261,0.0510111217427545,0.142219500242967,0.274800168545673
