r,returns,income,tax
10000000,11445,321636083000,65644002000
5000000,30634,452399646000,97144064000
2000000,109998,688475258000,155919181000
1500000,165984,784758781000,180023917000
1000000,300891,947854413000,220482827000
500000,898415,1351439851000,318093595000
200000,4700056,2432371643000,530496852000
100000,19455822,4409777850000,779464471000
75000,31382223,5441389037000,875483467000
50000,50331501,6607200646000,968806468000
40000,61315474,7098914777000,999362219000
30000,75835553,7603983800000,1024093566000
25000,84823166,7850451120000,1033010540000
20000,95033872,8079632572000,1039328167000
15000,106913930,8286602713000,1043206454000
10000,119839761,8448050268000,1044916259000
5000,132226477,8542321099000,1045341879000
1,142919316,8569840708000,1045387565000
-Inf,145370240,8374142977000,1045510793000
