r,returns,income,tax
10000000,18061,538771167000,139611281000
5000000,46741,734432519000,195945684000
2000000,163459,1081296955000,297434226000
1500000,243430,1218983307000,337105843000
1000000,439335,1455482912000,403429433000
500000,1323670,2053159557000,557818196000
200000,6751846,3599675040000,857650398000
100000,25284439,6106172868000,1174000036000
75000,38106230,7217347711000,1279901495000
50000,58086347,8445646798000,1379693290000
40000,69711765,8966492780000,1412223498000
30000,84625645,9486018593000,1437391174000
25000,93458520,9728591368000,1446143763000
20000,103439970,9952822222000,1452334892000
15000,114668417,10148679910000,1455858742000
10000,126887897,10301432377000,1457240025000
5000,138286492,10387844363000,1457608041000
1,148421196,10414085161000,1457648982000
-Inf,150493263,10210310102000,1457891441000
