r,returns,income,tax
1000000,52019,127116380000,33301257000
500000,170369,206722875000,53791920000
200000,846407,402987097000,100053998000
100000,3444315,742084681000,162896882000
75000,7015944,1047099820000,209909132000
50000,18406149,1732743052000,297744975000
40000,27222962,2126291891000,341202546000
30000,39569715,2555389707000,386292756000
25000,47443334,2771475784000,406271501000
20000,57135312,2988679916000,424155237000
19000,59141446,3027758026000,427011165000
18000,61458388,3070592412000,429929881000
17000,63619419,3108383346000,432295082000
16000,66161918,3150316373000,434781590000
15000,68723909,3189996699000,436981695000
14000,71487939,3230124456000,439059453000
13000,74087841,3265235885000,440824840000
12000,76848425,3299709675000,442346199000
11000,79660834,3332032257000,443629149000
10000,82506333,3361877468000,444796742000
9000,85531828,3390613989000,445784674000
8000,88525913,3416090251000,446646336000
7000,91632051,3439362988000,447258987000
6000,94778814,3459812498000,447653215000
5000,97735205,3476054271000,447892838000
4000,100764097,3489730525000,448062652000
3000,103871218,3500574171000,448168271000
2000,107232003,3508941920000,448254618000
1000,110954743,3514457753000,448331017000
1,113804104,3516141520000,448348654000
-Inf,114730123,3464524369000,448429593000
