r,returns,income,tax
10000000,6836,174988989000,45332386000
5000000,19103,258508489000,69540174000
2000000,71260,413476372000,115382055000
1500000,107751,476110467000,133859739000
1000000,193230,579302940000,164119625000
500000,548848,820166890000,231900820000
200000,2567220,1398759517000,366491428000
100000,11036419,2513078134000,551755235000
75000,19940312,3277193173000,650501992000
50000,37500090,4351669208000,764553706000
40000,48112707,4827029595000,809018654000
30000,61956347,5307570993000,847479649000
25000,70519382,5542726799000,863031156000
20000,80490754,5766276406000,874663447000
19000,82623355,5807874465000,876590461000
18000,84894860,5849876283000,878358251000
17000,87311949,5892178227000,880022002000
16000,89556295,5929211963000,881372332000
15000,91967717,5966571361000,882721819000
14000,94377352,6001484677000,883857015000
13000,96724755,6033182777000,884778945000
12000,99101174,6062912609000,885557938000
11000,101391667,6089231696000,886179629000
10000,103870905,6115221682000,886662480000
9000,106294686,6138246279000,887025572000
8000,108747275,6159103921000,887277554000
7000,111270130,6177984588000,887471078000
6000,113762059,6194207654000,887624337000
5000,116225007,6207737173000,887722755000
4000,118912084,6219807297000,887774532000
3000,121608163,6229207012000,887805938000
2000,124337335,6236007000000,887846138000
1000,126979073,6239980327000,887880540000
1,128817051,6241035548000,887881816000
-Inf,130255237,6170603942000,887973968000
