r,returns,income,tax
1000000,10800,24358715000,9658764000
500000,36269,41531965000,16122246000
200000,198608,87692950000,31735448000
100000,820559,170069768000,53749646000
75000,1643399,240081609000,69142620000
50000,5234587,451920059000,107495517000
40000,10382369,680145181000,142293703000
30000,20803304,1039475282000,190124146000
25000,28160791,1241239265000,214478697000
20000,37008478,1439796662000,236445098000
19000,38893924,1476549392000,240238447000
18000,40944247,1514436100000,244073001000
17000,43185142,1553642766000,247903257000
16000,45343611,1589272822000,251287799000
15000,47778937,1626992992000,254712669000
14000,50335386,1664064630000,257950229000
13000,52940611,1699210100000,260779195000
12000,55723405,1733984133000,263432825000
11000,58665409,1767732606000,265791308000
10000,61656576,1799158274000,267907608000
9000,64870574,1829660000000,269679475000
8000,68286582,1858594826000,271166059000
7000,71750505,1884699361000,272282532000
6000,75054839,1906166237000,273061216000
5000,78484865,1925020714000,273592587000
4000,82024524,1940957053000,273903661000
3000,85652789,1953699851000,274002120000
2000,89350818,1962886463000,274027816000
1000,92906197,1968182667000,274053534000
1,95330713,1969599862000,274055709000
-Inf,96321310,1942589865000,274181323000
