r,returns,income,tax
1000000,144459,423507211000,121936110000
500000,406167,600176784000,173227006000
200000,1807900,1004490654000,272738652000
100000,7185799,1712301480000,399006220000
75000,13640720,2266273163000,479172847000
50000,28820961,3191228887000,589451712000
40000,38608818,3628863133000,636165415000
30000,51575561,4079115024000,679244390000
25000,59640483,4300548141000,697932963000
20000,69585229,4523393198000,712906531000
19000,71742289,4565413774000,715190435000
18000,73987351,4606917055000,717340340000
17000,76198489,4645623909000,719124816000
16000,78505432,4683691127000,720889917000
15000,80979033,4722044573000,722605978000
14000,83600978,4760055883000,724197456000
13000,86228751,4795476431000,725515584000
12000,88884682,4828608023000,726727805000
11000,91476895,4858400911000,727777998000
10000,94153159,4886519483000,728685433000
9000,96900987,4912617340000,729433288000
8000,99513767,4934787699000,729917159000
7000,102100276,4954207455000,730266659000
6000,104793126,4971707812000,730518980000
5000,107567405,4986955017000,730750301000
4000,110411607,4999730448000,730888884000
3000,113383233,5010103887000,731010940000
2000,116351138,5017465789000,731115424000
1000,119491448,5022195376000,731189969000
1,121503285,5023457042000,731210040000
-Inf,122421991,4969949986000,731321399000
