r,returns,income,tax
1000000,34944,85732872000,24227062000
500000,110296,136631116000,39234809000
200000,539967,260704907000,72213051000
100000,2053621,461678034000,115628477000
75000,4117810,637131732000,146905640000
50000,12228257,1121154803000,216778064000
40000,20091158,1471564551000,258123935000
30000,31695802,1874065169000,300933689000
25000,39190629,2079616673000,321329045000
20000,48246438,2282713296000,339343193000
19000,50367918,2324074325000,342720682000
18000,52563433,2364677170000,345947667000
17000,54855539,2404772288000,349009066000
16000,57156638,2442739308000,351903227000
15000,59656121,2481452853000,354680938000
14000,62215684,2518567439000,357114912000
13000,64948697,2555442152000,359382704000
12000,67719396,2590085838000,361322402000
11000,70528791,2622394005000,363031799000
10000,73482558,2653372957000,364417107000
9000,76457633,2681581852000,365613444000
8000,79552948,2707932061000,366616404000
7000,82757867,2731950540000,367404348000
6000,85873410,2752183570000,367952983000
5000,89179999,2770364418000,368403136000
4000,92517848,2785371488000,368655650000
3000,95871089,2797090354000,368838869000
2000,99617405,2806454351000,368948038000
1000,103304891,2811984927000,369022513000
1,106154761,2813727901000,369046178000
-Inf,106996270,277384198000,369202757000
