r,returns,income,tax
10000000,20223,632163016000,161613368000
5000000,51851,848326553000,222888016000
2000000,181719,1234370249000,333618194000
1500000,272246,1390183604000,377786531000
1000000,494857,1658924512000,452056933000
500000,1505060,2338866097000,625034391000
200000,7720106,4109681667000,964997278000
100000,27671556,6817522625000,1305990001000
75000,41179909,7987877083000,1418956410000
50000,62138355,9274725156000,1524609236000
40000,74053954,9808062916000,1558199635000
30000,89262963,10337692875000,1584366241000
25000,98087511,10580143772000,1593471544000
20000,108071340,10804361898000,1599785800000
15000,118736610,10990459691000,1603291321000
10000,130331247,11135460860000,1604682978000
5000,141120810,11216908521000,1605051042000
1,150872916,11242138620000,1605082998000
-Inf,152903231,11009900155000,1605281768000
