r,returns,income,tax
10000000,16087,482067421000,121355752000
5000000,42714,663737817000,173305945000
2000000,153810,993648681000,269261477000
1500000,231593,1127281264000,307892173000
1000000,424442,1359840939000,373062587000
500000,1317820,1959464680000,527720780000
200000,6900372,3547814048000,835969823000
100000,25758613,6100294858000,1157534262000
75000,38733404,7226012777000,1265846132000
50000,58957833,8467769833000,1367390104000
40000,70622572,8990034542000,1399875978000
30000,85710847,9515174779000,1425557847000
25000,94599158,9759114588000,1434542634000
20000,104446252,9980122210000,1440665580000
15000,115356361,10170284943000,1444145073000
10000,127191701,10318126016000,1445540203000
5000,138190824,10401631737000,1445889279000
1,148179516,10427444334000,1445917741000
-Inf,150272157,10225938479000,1446047984000
