r,returns,income,tax
10000000,16733,505681010000,131935947000
5000000,43312,687624513000,184872786000
2000000,152787,1014136392000,281008485000
1500000,229852,1146599445000,319352712000
1000000,410298,1364026184000,380726347000
500000,1245279,1926649000000,525743864000
200000,6223813,3346425711000,802230548000
100000,23725064,5708181972000,1099342426000
75000,36550833,6819808142000,1204940263000
50000,55945480,8011764803000,1300748208000
40000,67418195,8525724527000,1332611869000
30000,82017869,9033210566000,1357171652000
25000,90836746,9274980150000,1366025611000
20000,100898496,9501022727000,1372209528000
15000,112229946,9698797166000,1375828686000
10000,124519740,9852627988000,1377228212000
5000,136309931,9942347109000,1377583702000
1,146572440,9968726206000,1377621865000
-Inf,148606578,9771035412000,1377797136000
