r,returns,income,tax
1000000,60677,154676000000,37341734000
500000,190930,241818000000,58283953000
200000,834957,429823000000,101722000000
100000,3164519,735390000000,159545000000
75000,6440660,1014920000000,203921000000
50000,17384762,1672130000000,291162000000
40000,26221829,2066860000000,336014000000
30000,38504615,2493240000000,381317000000
25000,46342841,2708460000000,401875000000
20000,55915157,2922770000000,420277000000
19000,58115670,2965660000000,423733000000
18000,60421182,3008310000000,426946000000
17000,62771946,3049470000000,429800000000
16000,65076246,3087480000000,432363000000
15000,67458386,3124410000000,434641000000
14000,70090634,3162610000000,436791000000
13000,72840757,3199710000000,438770000000
12000,75616168,3234450000000,440473000000
11000,78413408,3266640000000,441940000000
10000,81381135,3297790000000,443182000000
9000,84304217,3325540000000,444243000000
8000,87295838,3351010000000,445087000000
7000,90329754,3373720000000,445753000000
6000,93374486,3393470000000,446222000000
5000,96333990,3409740000000,446611000000
4000,99473432,3423860000000,446754000000
3000,102660835,3434920000000,446860000000
2000,106266627,3443880000000,446955000000
1000,110029416,3449620000000,447039000000
1,112812262,3451240000000,447061000000
-Inf,113717138,3406430000000,447127000000
