r,returns,income,tax
10000000,13776,376274843000,78268719000
5000000,35207,523121463000,112797730000
2000000,119277,773733302000,173669366000
1500000,175892,871245732000,197610986000
1000000,303817,1026045265000,235663566000
500000,828323,1381266061000,320363625000
200000,3566125,2170148423000,479759018000
100000,14376492,3600728999000,669227376000
75000,24826481,4501208216000,755213862000
50000,43177518,5628874559000,848037908000
40000,53796024,6104393176000,880915127000
30000,67736429,6588369477000,908199765000
25000,76474536,6828324209000,918906963000
20000,86258703,7047671865000,926570283000
15000,97385302,7241973987000,931537401000
10000,109020986,7387193749000,933955915000
5000,121135222,7477761968000,934629604000
1,132611637,7507958686000,934702399000
-Inf,134372678,7422495664000,934835769000
