r,returns,income,tax
1000000,205124,653184370000,182292689000
500000,553381,888885255000,249257458000
200000,2429942,1431332992000,379531398000
100000,9534654,2366099653000,541756389000
75000,17346280,3037317189000,633575488000
50000,34101840,4061024403000,746779737000
40000,43972039,4502530693000,790243433000
30000,57260418,4964372343000,829939304000
25000,65653186,5194211308000,846883861000
20000,75620397,5417907209000,860331070000
19000,77771408,5459821963000,862419164000
18000,80007916,5501195236000,864423215000
17000,82380722,5542689827000,866325588000
16000,84814575,5582847606000,868080719000
15000,87403571,5623014542000,869775706000
14000,89844198,5658424153000,871110580000
13000,92310591,5691747468000,872335094000
12000,94796607,5722830369000,873407991000
11000,97267658,5751235208000,874293040000
10000,99679288,5776538429000,875072021000
9000,102336502,5801755905000,875712058000
8000,104899451,5823548426000,876153007000
7000,107438566,5842554422000,876462443000
6000,110088867,5859767099000,876735616000
5000,112659002,5873898835000,876938867000
4000,115418179,5886308251000,877055637000
3000,118272888,5896300583000,877152806000
2000,121285314,5903808232000,877230603000
1000,124194815,5908224268000,877285261000
1,126008974,5909328556000,877292222000
-Inf,127075145,5855467909000,877401489000
