r,returns,income,tax
10000000,8274,240133885000,53790324000
5000000,22596,337627052000,78407328000
2000000,84514,520613443000,125350958000
1500000,128787,596761643000,144744193000
1000000,236883,726910879000,177500064000
500000,729451,1058948357000,257958249000
200000,3924490,1964295759000,434280397000
100000,17446537,3765742656000,646570986000
75000,28910262,4756080569000,727063608000
50000,47605155,5905149386000,805025681000
40000,58401567,6388238185000,830429985000
30000,72773214,6888117957000,850581868000
25000,81435606,7126112187000,857409432000
20000,91469493,7351279924000,862078842000
15000,102869721,7550297484000,864595115000
10000,115314233,7705763290000,865443190000
5000,127534568,7798170567000,865823041000
1,137982203,7825389175000,865863319000
-Inf,140494127,7626430723000,865948695000
