r,returns,income,tax
10000000,13480,399968770000,83558216000
5000000,34871,546312247000,118363814000
2000000,121200,803796640000,181754332000
1500000,180660,906194198000,207139450000
1000000,321295,1076046308000,249019686000
500000,898912,1468581383000,342919049000
200000,4375660,2462007963000,536618217000
100000,18227000,4307111219000,768888636000
75000,29956486,5320788630000,860790178000
50000,49152946,6500802634000,953442570000
40000,60240069,6997693162000,984844229000
30000,74794350,7503799874000,1010396066000
25000,83537931,7743716269000,1019504421000
20000,93404178,7965356223000,1025835663000
15000,104480180,8158835249000,1029354208000
10000,116182236,8305211885000,1030913824000
5000,128321874,8396061245000,1031434929000
1,139960581,8426625369000,1031511645000
-Inf,142450569,8262860170000,1031580923000
