r,returns,income,tax
1000000,14834,34687437000,14120545000
500000,44049,54416733000,21647130000
200000,243760,111926679000,40422211000
100000,1004953,211968197000,66184730000
75000,2054397,301257984000,84944107000
50000,6712099,576304832000,132299281000
40000,12675140,841227060000,170974522000
30000,23750246,1225434849000,219579750000
25000,31385650,1434709493000,243372754000
20000,40201040,1632730767000,264357782000
19000,42230125,1672300182000,268288291000
18000,44409990,1712651269000,272149659000
17000,46791666,1754312855000,276063480000
16000,49213288,1794235265000,279568149000
15000,51685499,1832508468000,282848804000
14000,54131187,1867932412000,285757559000
13000,56888046,1905168840000,288680706000
12000,59769381,1941154486000,291310542000
11000,62766025,1975608220000,293694212000
10000,65746585,2006831180000,295640635000
9000,68817898,2035998469000,297312132000
8000,72249713,2065122361000,298746807000
7000,75610829,2090387014000,299795414000
6000,78939594,2112063683000,300523283000
5000,82195263,2130004720000,301028449000
4000,85805726,2146192958000,301341406000
3000,89225800,2158155918000,301458616000
2000,92633524,2166660123000,301490352000
1000,96109560,2171888799000,301503268000
1,98435000,2173227608000,301504197000
-Inf,99438708,2139904356000,301923057000
