r,returns,income,tax
1000000,67243,176939720000,47489182000
500000,208403,272305461000,72269003000
200000,954747,490909641000,124322404000
100000,3765326,859281740000,191767653000
75000,7753528,1199912874000,243320589000
50000,19549876,1912183323000,331776082000
40000,28558522,2315286873000,375397864000
30000,40883512,2743765136000,419128486000
25000,48473666,2951991025000,437610491000
20000,58026976,3166085524000,454425274000
19000,60139556,3207308510000,457146815000
18000,62258956,3246498912000,459614711000
17000,64645708,3288281844000,462024318000
16000,67070347,3328246900000,464208727000
15000,69517147,3366169318000,466227808000
14000,71937551,3401256710000,467944695000
13000,74484850,3435646389000,469531729000
12000,77222192,3469875705000,470936303000
11000,80067597,3502590123000,472188009000
10000,82757215,3530846834000,473141682000
9000,85761166,3559400933000,474067964000
8000,88701260,3584413120000,474765544000
7000,91669841,3606641833000,475234115000
6000,94665644,3626098774000,475581198000
5000,97631974,3642477770000,475786375000
4000,100553803,3655608842000,475933478000
3000,103521660,3665993686000,476000441000
2000,106799030,3674099603000,476086242000
1000,110089752,3679006206000,476148336000
1,112652759,3680552018000,476162757000
-Inf,113604503,3629129550000,476238785000
