r,returns,income,tax
10000000,22112,659005622000,163198922000
5000000,56900,897313927000,228248368000
2000000,198911,1318970160000,344058791000
1500000,297494,1488669950000,389774722000
1000000,539207,1780074034000,465396056000
500000,1647637,2526852338000,638610931000
200000,8553307,4498157982000,966416611000
100000,29699844,7376360851000,1286953230000
75000,43385253,8561972518000,1384125337000
50000,64845929,9883677132000,1473779439000
40000,76863241,10422036788000,1501492008000
30000,92373821,10962562924000,1523264506000
25000,101358233,11209064879000,1530611122000
20000,110968861,11425304789000,1535712074000
15000,121156000,11603211102000,1538158634000
10000,132610284,11746265147000,1538550362000
5000,142624393,11821573377000,1538592564000
1,151812043,11845415826000,1538610817000
-Inf,153774296,11643439106000,1538749447000
