r,returns,income,tax
10000000,5309,129421399000,33738065000
5000000,15335,197672695000,53782435000
2000000,59540,327977812000,92474726000
1500000,90856,381759936000,108365536000
1000000,168977,475832546000,135844933000
500000,505661,702876793000,199215713000
200000,2414128,1251691545000,323980309000
100000,10836731,2361380611000,499121057000
75000,20084570,3155869683000,592776202000
50000,37481486,4222486477000,694596533000
40000,48031943,4695308434000,732710550000
30000,62012046,5181004673000,765365260000
25000,70586621,5415956536000,777694546000
20000,80610039,5640342943000,786768332000
19000,82759403,5682238482000,788287344000
18000,85059755,5724764557000,789672537000
17000,87268029,5763394931000,790920752000
16000,89515259,5800455988000,792057996000
15000,91900185,5837409675000,793005777000
14000,94293950,5872122857000,793814734000
13000,96708531,5904699207000,794476206000
12000,99067648,5934170141000,795060191000
11000,101456704,5961673398000,795567135000
10000,104042367,5988837431000,795946481000
9000,106518503,6012375740000,796209935000
8000,108984917,6033348410000,796408466000
7000,111495785,6052158913000,796562556000
6000,114007331,6068484689000,796699450000
5000,116515112,6082250947000,796777844000
4000,119103748,6093916824000,796801285000
3000,121678888,6102914983000,796821326000
2000,124205671,6109227666000,796845754000
1000,126511876,6112750093000,796860989000
1,128323986,6113778282000,796861888000
-Inf,130076443,6033585532000,796986268000
