r,returns,income,tax
10000000,11215,300128133000,76090875000
5000000,28825,420705508000,110423401000
2000000,95593,620098986000,168649984000
1500000,140174,696809821000,191171126000
1000000,239684,817414048000,226320419000
500000,635814,1086434935000,302341983000
200000,2771577,1700190573000,448796311000
100000,10855024,2766532320000,632831220000
75000,19452352,3504035932000,732634434000
50000,36528511,4548690987000,848380430000
40000,46940601,5014294436000,894119818000
30000,60488328,5485187384000,934349061000
25000,68857087,5714563125000,950750465000
20000,78850201,5938952391000,963881880000
19000,81093948,5982662167000,966062935000
18000,83432490,6025923983000,968084090000
17000,85726917,6066060810000,969927593000
16000,88075003,6104785488000,971612739000
15000,90511736,6142554107000,973117764000
14000,92919898,6177469459000,974521275000
13000,95321398,6209910609000,975681602000
12000,97688355,6239525078000,976693043000
11000,100180707,6268183211000,977583249000
10000,102622800,6293797571000,978290370000
9000,105269565,6318976786000,978892582000
8000,107658400,6339271198000,979311657000
7000,110241600,6358625842000,979667178000
6000,112837668,6375533388000,979952124000
5000,115424402,6389773231000,980182230000
4000,118142482,6401995846000,980295716000
3000,121023391,6412058005000,980391076000
2000,123803370,6418985011000,980469235000
1000,126407985,6422905695000,980518076000
1,128227143,6423976613000,980521359000
-Inf,129373500,6365376648000,980645201000
