r,returns,income,tax
1000000,110912,314402063000,96956057000
500000,324736,459209215000,140485902000
200000,1523407,806613286000,228172793000
100000,6135961,1410280305000,338010561000
75000,11937379,1908639424000,411331455000
50000,26260230,2780476720000,516240607000
40000,35798930,3207235036000,562509753000
30000,48348363,3643638666000,604889920000
25000,56410014,3864721122000,623700811000
20000,66135594,4082658957000,638764659000
19000,68229499,4123464625000,641073703000
18000,70500965,4165492739000,643543061000
17000,72826619,4206211749000,645620175000
16000,75271532,4246527094000,647663877000
15000,77745919,4284918725000,649423201000
14000,80421255,4323719916000,651043457000
13000,83062245,4359393069000,652481945000
12000,85579144,4390808950000,653607334000
11000,88264338,4421704517000,654685121000
10000,90967664,4450096805000,655623441000
9000,93702331,4476081844000,656380030000
8000,96369329,4498744829000,656902550000
7000,99171879,4519782513000,657268674000
6000,101978134,4537982454000,657506543000
5000,104569410,4552191804000,657694240000
4000,107486247,4565326370000,657851074000
3000,110619055,4576281523000,657962084000
2000,113807449,4584233554000,658042209000
1000,117090749,4589111982000,658114713000
1,119441768,4590527293000,658124165000
-Inf,120351208,4535974492000,658244750000
