r,returns,income,tax
1000000,62065,169631441000,42422678000
500000,176873,247525239000,61585659000
200000,725345,409439896000,100285400000
100000,2503603,645514057000,148122793000
75000,5024079,859718884000,183808122000
50000,13928164,1392434404000,258149039000
40000,22192678,1761550079000,300917400000
30000,34149278,2176860721000,345056391000
25000,41667017,2383062304000,365418032000
20000,50945779,2590899628000,383696376000
19000,53087498,2632669077000,387162175000
18000,55283669,2673269539000,390328016000
17000,57740462,2716282559000,393547661000
16000,60107701,2755385024000,396291065000
15000,62706009,2795657999000,399001436000
14000,65332243,2833681672000,401383875000
13000,68134339,2871482889000,403512826000
12000,70859876,2905542473000,405345197000
11000,73564116,2936636316000,406864297000
10000,76422051,2966630367000,408246249000
9000,79414047,2995040437000,409413233000
8000,82465794,3020987493000,410426916000
7000,85605341,3044472944000,411216555000
6000,88739918,3064858670000,411784407000
5000,91822971,3081870386000,412160861000
4000,94941787,3095886569000,412399656000
3000,98289578,3107591750000,412556923000
2000,101878948,3116513215000,412640700000
1000,105746011,3122296751000,412730031000
1,108872859,3124156072000,412761071000
-Inf,109708280,3083019783000,412869909000
