r,returns,income,tax
1000000,65485,170638763000,53245979000
500000,207288,264992356000,81591315000
200000,993326,493000740000,139871281000
100000,4101324,901040057000,215156519000
75000,8326202,1260890393000,269237053000
50000,20574649,2002376667000,360290060000
40000,29646787,2407743135000,403786019000
30000,42005128,2836986539000,447041598000
25000,49788902,3049834762000,465590459000
20000,59263502,3262163421000,482081427000
19000,61468175,3305149193000,484897920000
18000,63581427,3344233252000,487203716000
17000,65774467,3382615425000,489298607000
16000,68115561,3421228236000,491225624000
15000,70634351,3460284728000,493094117000
14000,73099945,3495978708000,494722014000
13000,75844438,3533009690000,496325922000
12000,78491391,3566048100000,497651925000
11000,81340793,3598867860000,498927172000
10000,84103495,3627854116000,499935920000
9000,87041794,3655757824000,500776926000
8000,89871052,3679796546000,501446981000
7000,93005659,3703311109000,501913896000
6000,95962742,3722493801000,502192318000
5000,98831233,3738286046000,502360299000
4000,101629650,3750894924000,502509197000
3000,104579345,3761186818000,502586740000
2000,107785943,3769151951000,502637284000
1000,111051363,3774010516000,502700638000
1,113681387,3775577606000,502719908000
-Inf,114601819,3723339880000,502787806000
