0,0,0
0.411764706,0.411764706,0.411764706
0.545098039,0,0
0.862745098,0.078431373,0.235294118
0.941176471,0.501960784,0.501960784
1,0.3,0.06
0.62745098,0.321568627,0.176470588
1,0.549019608,0
0.854901961,0.647058824,0.125490196
0,0.392156863,0
0.235294118,0.701960784,0.443137255
0.250980392,0.878431373,0.815686275
0,0.501960784,0.501960784
0.274509804,0.509803922,0.705882353
0.117647059,0.564705882,1
0,0,0.803921569
0.576470588,0.439215686,0.858823529
0.580392157,0,0.82745098
1,0.411764706,0.705882353
